Stream,Direction,Phase,Total_kg_hr,Water,Lime,N2,O2,CH4,SO2,CO2,Sucrose,CaSO4,Extract,Acetate,Ash,NaOH,Lignin,SolubleLignin,Glucan,Xylan,Arabinan,Mannan,Galactan,WWTsludge,Methanol,Hydrogen,Hexane,EthylAcetate,NiC,Propylguaiacol,Propylsyringol,Syringaresinol,G_Dimer,S_Oligomer,G_Oligomer
Meoh_in,Input,l,40277.2332534796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40277.2332534796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water_in_meoh,Input,l,285.4325841133318,285.4325841133318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poplar_In,Input,l,100000.00000000001,16666.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0,1333.3333333333335,2916.666666666667,1000.0000000000001,0.0,23750.000000000004,0.0,38666.66666666667,11166.666666666668,166.66666666666669,3083.333333333334,1166.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrogen_In,Input,g,1553.5177416823476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1553.5177416823476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCF_Catalyst,Input,l,2.2815423226100844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2815423226100844,0.0,0.0,0.0,0.0,0.0,0.0
EthylAcetate_in,Input,l,1188.0916666666635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0916666666635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water_in_etoac,Input,l,23761.833333333332,23761.833333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hexane_In,Input,l,3348.7462802729497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3348.7462802729497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water_in_hexane,Input,l,101957.71933817922,101957.71933817922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_lagoon,Input,g,31911.5327195544,0.0,0.0,24890.995521252433,7020.537198301969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caustic,Input,l,1204.2590896061731,602.1295448030866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.1295448030866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Input,l,24618.489740181474,24618.489740181474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Input,g,28970.15573515151,0.0,0.0,0.0,0.0,28970.15573515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Input,l,60.003790872440064,29.584864536630644,30.418926335809417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Input,l,1.5874822800793686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5874822800793686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Input,g,2832559.1409144485,0.0,0.0,2237721.7213224145,594837.4195920342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s19,Output,g,2733.6467063318214,43.38267843111081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.2640279007105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbohydrate_Pulp,Output,l,58815.000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.0,1000.0000000000001,0.0,10355.000000000004,0.0,34800.00000000001,10385.000000000002,66.66666666666667,1541.666666666667,583.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s20,Output,l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCF_Monomers,Output,l,5783.958727205605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2891.9793636028026,2891.979363602802,0.0,0.0,0.0,0.0
evaporated_water,Output,g,38927.039126834265,7180.497368821697,0.0,24890.995521252433,1170.089533050328,0.0,0.0,5685.456703709807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO_treated_water,Output,l,90161.71775428641,90161.71775428641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brine,Output,l,7212.528115191282,1187.5403554262682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7172617720886582,2787.216929216636,0.0,591.6411196926737,0.0,7.20579107732732e-06,925.9511766800658,183.54562877188152,4.077313933335477,62.85858980558862,23.784331277790262,1422.7343146674616,16.814823004928883,0.0,1.5614297881877681,0.5539749996466687,0.0,0.0006205971376454934,0.0006205971376457572,0.7767644706560526,0.7767644706560545,0.9880444066745007,0.9880444066745014
emissions,Output,g,2948285.261108227,135013.7949292484,0.0,2238036.6287829946,413075.21220906073,0.0,1.7534363835420064,162157.87175054013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rejected_water_and_blowdown,Output,l,24618.489740181474,24618.489740181474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ash_disposal,Output,l,64.5884698214201,14.905031497250793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.851183275863235,0.0,0.0,6.832255048306072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
